"Sample","Group","Core","range","Type","Easting","Northing","Depth_upper","Depth_lower","pH","EC","Microplastics_fragments","Microplastics_fibres","Microplastics_other","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"04.1.4",4,4.1,"30-40","Soil",391388,6466613,30,40,8.25,61.4,NA,NA,NA,4390,4.9,65.2,15266,0.84,4.7,34.2,355.6,7688,0.44,141,2.8,614,50.3,1.35,150,2.17,9.4,185,376.2,350,78,2.5,12,1.45,449.2
"04.1.5",4,4.1,"40-50","Soil",391388,6466613,40,50,8.54,52.8,NA,NA,NA,4353,4.8,76.2,14524,1.15,4.1,19.6,350.9,7183,0.42,139,2.7,509,50.4,1.13,174,1.8,8.82,176,334,425,55.8,2.61,10.2,1.47,526.7
"04.1.6",4,4.1,"50-60","Soil",391388,6466613,50,60,8.65,59.6,NA,NA,NA,3816,3.8,44.2,15097,0.6,5.1,12.4,95.8,5911,0.57,164,3,591,40.9,0.43,123,2.47,6.18,218,137.4,285,62.3,1.66,8.7,1.91,396.3
"04.2.1",4,4.2,"0-10","Soil",391399,6466606,0,10,5.4,61.7,"6",4,0,2500,4.6,20.8,4096,0.38,3.9,8.4,18.2,4303,0.45,123,2.1,355,34.4,0.26,75,1.5,2.76,269,58.4,390,14.4,1.06,5.6,1.52,197.2
"04.2.2",4,4.2,"Oct-20","Soil",391399,6466606,10,20,5.22,70.9,"3",1,0,2856,10.6,52.7,8010,0.74,3.6,12.2,55.3,10712,0.31,164,2.2,481,54.8,0.9,118,1.62,5.98,309,96.1,631,34.6,1.2,7.7,1.66,374.7
"04.2.3",4,4.2,"20-30","Soil",391399,6466606,20,30,5.21,64.7,NA,NA,NA,4219,13.7,86.9,10197,1.34,4.6,22.8,127.8,16754,0.79,149,2.8,476,97.9,1.44,133,2.78,12.81,287,213.6,853,45,1.64,11.5,2.25,724.1
"04.2.4",4,4.2,"30-40","Soil",391399,6466606,30,40,8.53,68.4,NA,NA,NA,5179,13.2,96.9,8931,1.6,4.4,24.5,144.4,22180,0.95,188,3.4,490,81.5,1.47,173,3.07,15.22,324,375.7,779,33.9,1.84,15.3,2.5,1155.2
"04.2.5",4,4.2,"40-50","Soil",391399,6466606,40,50,8.48,68.8,NA,NA,NA,4832,9.4,72.3,12640,1.01,6.2,16.8,103.5,12910,0.75,175,3.6,525,72.8,0.86,152,3.07,11.53,327,296.1,655,41,2.37,11.4,2.18,687.7
"04.2.6",4,4.2,"50-60","Soil",391399,6466606,50,60,8.85,NA,NA,NA,NA,5302,6.7,63,15412,0.67,5,14,83.8,8722,0.51,172,2.8,524,57.3,0.69,127,2.39,7.67,238,152.5,447,48.4,2.06,11.8,1.59,428.7
"5.1",5,5,"0-10","Soil",391343,6466514,0,10,6.4,63.5,"Present",NA,NA,2486,2.8,12.9,1246,0.06,5.7,6.1,5.3,2641,0.38,126,2.5,234,17.9,0.24,37,1.99,1.25,127,79,203,6.8,1.19,5.7,1.49,35.7
"5.2",5,5,"Oct-20","Soil",391343,6466514,10,20,7.4,93.9,"Absent",NA,NA,3141,2.9,15.3,1567,0.08,5.7,6.9,8,3652,0.37,217,2.6,372,25.5,0.23,120,2.01,1.52,140,87.6,240,7.3,1.5,7.6,1.62,42
"5.3",5,5,"20-30","Soil",391343,6466514,20,30,7.2,278,NA,NA,NA,3838,4.2,16.7,1941,0.11,7,9,8.2,3890,0.55,204,2.7,364,25.9,0.23,219,2.02,1.74,162,110.8,371,9.4,1.39,8.8,1.72,50.8
"5.4",5,5,"30-40","Soil",391343,6466514,30,40,7.9,217,NA,NA,NA,2100,2.5,14,1384,0.06,4.9,4.8,NA,1904,0.37,129,1.9,161,8.5,0.11,162,1.72,0.99,156,51.7,228,6.7,1.07,3.9,1.35,16
"5.5",5,5,"40-50","Soil",391343,6466514,40,50,8.1,31.8,NA,NA,NA,415,1.7,6.5,645,0.01,2.1,1.4,NA,469,NA,42,0.8,46,2.1,NA,59,0.88,NA,19,8.4,161,3.7,0.59,1,0.81,5.8
"5.6",5,5,"50-60","Soil",391343,6466514,50,60,7.9,88.3,NA,NA,NA,659,1,5.8,490,0.01,2,1.5,NA,601,NA,55,0.8,60,3.2,0.07,78,0.67,NA,27,13,124,2,0.59,1.6,0.58,7.4
"5.7",5,5,"60-70","Soil",391343,6466514,60,70,7.6,264,NA,NA,NA,434,0.6,4.4,415,0.01,1.8,0.9,NA,347,NA,50,0.9,49,2.8,NA,91,0.72,NA,20,9.6,106,1.8,NA,0.7,0.48,4.2
"06.01A",6,6,"0-10","Soil",391248,6466702,0,10,6.42,193,NA,NA,NA,2594,1.9,14.2,1788,0.05,4.4,6.4,2.8,2517,0.35,250,1.6,479,55.7,0.21,176,1.3,1.64,329,11.9,583,8.8,0.91,4.7,1.78,32.5
"06.02A",6,6,"Oct-20","Soil",391248,6466702,10,20,6.43,136.5,NA,NA,NA,3248,3.2,8.9,897,0.05,7.2,8.5,NA,2744,0.46,140,2.5,205,23.2,0.06,79,2.17,1.68,205,12,249,3.7,0.69,6.1,1.7,17.1
"06.03A",6,6,"20-30","Soil",391248,6466702,20,30,8.22,113.8,NA,NA,NA,3739,3.4,33.4,13668,0.14,4.3,8.7,13.6,5467,0.44,129,2.2,493,25.9,0.2,223,1.64,2.6,241,59,239,71.2,1.7,10.6,1.57,70.8
"06.04A",6,6,"30-40","Soil",391248,6466702,30,40,8.68,61.7,NA,NA,NA,4070,4.2,72,37178,0.21,5.3,10.4,14.4,5748,0.48,133,3,987,38.7,0.18,254,0.79,3.78,327,149.6,302,225.1,1.96,12.6,1.48,158
"06.05A",6,6,"40-50","Soil",391248,6466702,40,50,7.84,61.8,NA,NA,NA,6057,5.7,96.4,14554,0.47,8.2,12.8,47,7843,0.62,149,3.2,563,54.3,0.25,122,2.51,4.02,313,234.6,264,75.5,2.72,18.6,1.55,295
"06.06A",6,6,"50-60","Soil",391248,6466702,50,60,9.21,56.2,NA,NA,NA,7067,4.6,82.8,14903,0.28,9,11.4,35,7207,0.56,179,3.2,633,41.7,0.22,155,2.92,5.43,222,147.7,261,76.7,3.48,18.4,1.75,160.4
"06.07A",6,6,"60-70","Soil",391248,6466702,60,70,9.2,54.5,NA,NA,NA,4323,2.8,43.9,23686,0.21,4.7,9.1,75.2,4918,NA,113,2.4,1024,25.5,0.15,179,1.25,2.58,184,86.5,266,145.9,2.57,13.2,1.17,105.7
"06.08A",6,6,"70-80","Soil",391248,6466702,70,80,9.4,61,NA,NA,NA,2359,1.6,20.3,49727,0.09,1.9,6.9,8.2,2437,NA,77,1.6,2174,13.7,NA,363,NA,1.09,137,37.7,391,320.9,1.72,7.2,0.96,53.4
"06.09A",6,6,"80-90","Soil",391248,6466702,80,90,9.17,105.6,NA,NA,NA,4712,2.2,16.5,31575,0.07,2.7,8.1,9.4,5077,NA,115,2,1390,14,0.07,255,NA,1.07,122,41.4,277,203.7,3.37,14.2,0.92,44.3
"06.10A",6,6,"90-100","Soil",391248,6466702,90,100,9.31,58,NA,NA,NA,4121,2.3,26.9,36499,0.11,4,8.3,12.5,4283,NA,114,2.3,1605,18.8,NA,273,0.87,1.67,143,60,316,233.5,2.66,13.2,1.14,64.6
"7.1",7,7,"0-10","Soil",391305,6466415,0,10,7.92,7.92,"5",4,NA,1589,2.7,10,1372,0.07,2.4,3.4,5.7,2055,NA,88,1.1,143,27,0.14,62,0.85,1.29,140,20.6,193,6.6,0.58,3.9,0.6,39.4
"7.2",7,7,"Oct-20","Soil",391305,6466415,10,20,9.15,82.7,"5",10,1,2206,2.2,10.6,3925,0.1,3.6,3.2,7.3,2327,NA,161,2,254,21.7,0.14,99,1.24,1.44,73,27,149,15.6,1.36,4.4,0.8,51.1
"7.3",7,7,"20-30","Soil",391305,6466415,20,30,9.23,56.3,NA,NA,NA,1868,1.7,5.6,5412,0.04,2.5,2.2,3.1,1484,NA,111,1.6,214,10.4,0.29,59,0.93,0.77,41,14.1,71,23.9,1,3.7,0.61,19.3
"7.4",7,7,"30-40","Soil",391305,6466415,30,40,8.7,49.6,NA,NA,NA,1937,1.2,9.9,1350,0.04,2,2,NA,1574,NA,74,1.2,87,8.5,0.16,48,0.77,1.05,42,25.4,56,7.1,0.75,3.1,0.36,21.4
"7.5",7,7,"40-50","Soil",391305,6466415,40,50,8.9,48.5,NA,NA,NA,917,3.5,8.7,1063,0.04,1.1,1.8,6.5,2467,NA,46,0.7,58,11.3,0.28,42,0.43,2.19,54,27.7,48,4,NA,1.9,0.21,27.8
"7.6",7,7,"50-60","Soil",391305,6466415,50,60,8.5,94.6,NA,NA,NA,1383,0.8,23.5,3214,0.07,2.9,2,3.7,1668,NA,70,1.6,172,13.9,0.08,102,1.07,0.97,70,35.8,100,14.9,1,3.2,0.43,42.1
"7.7",7,7,"60-70","Soil",391305,6466415,60,70,8.08,50.6,NA,NA,NA,500,NA,5.9,891,NA,1.8,0.6,NA,397,NA,52,1,54,1.8,NA,54,0.68,NA,10,3.7,50,3.9,0.76,1.1,0.24,3.8
"7.8",7,7,"70-80","Soil",391305,6466415,70,80,8.14,32.4,NA,NA,NA,247,NA,4.9,512,0.01,1.5,0.2,NA,218,NA,37,0.8,37,1.5,NA,34,0.45,NA,9,3.5,NA,1.9,0.56,0.3,0.2,3.3
"08.1.01",8,8,"0-10","Sediment",391337,6466432,0,10,6.44,97.97,"495",495,0,1269,2,5.5,970,0.05,2.9,2.6,4.6,2178,NA,109,1.6,161,6.8,0.81,70,1.3,1.09,47,20.6,1875,4.5,1.33,3.4,1.1,49.3
"08.1.10",8,8,"Oct-20","Sediment",391326,6466482,10,20,5.25,46.02,"0",983,0,874,2.9,5.9,229,0.06,6.4,3.3,12.1,2142,0.36,70,3.3,88,14.3,0.28,67,2.75,0.89,19,76.3,2320,NA,1.74,2.5,0.97,22
"08.1.11",8,8,"20-30","Sediment",391326,6466482,20,30,5.07,39.8,NA,NA,NA,149,1,2.1,38,NA,3,0.4,NA,1201,NA,33,1.6,14,6.1,NA,31,1.28,NA,4,NA,1370,NA,0.83,0.5,0.32,NA
"08.2.1",8,8,"0-10","Sediment",391383,6466506,0,10,4.48,69.48,"0",0,0,2933,1.8,9.1,1070,NA,5.7,5.3,2.8,4050,0.71,246,3.2,438,35,0.21,102,3.02,1.51,90,10.4,114,5,2.55,11.3,5.84,13.7
"08.2.2",8,8,"Oct-20","Sediment",391383,6466506,10,20,5.65,32.18,"0",0,0,2625,1.2,13.3,763,NA,4.6,9.2,NA,3094,0.51,264,2.7,493,26.3,0.11,101,2.48,1.6,54,24.7,87,4.6,1.92,8.9,6.3,12.8
"08.3.1",8,8,"0-10","Sediment",391383,6466491,0,10,5.48,75.83,"495",495,0,2493,1.4,5.5,581,0.01,3,5.1,3.2,2637,0.41,141,1.6,225,15.8,0.09,65,1.71,1.16,62,9.5,131,3,1.28,6.9,2.26,19.1
"08.3.2",8,8,"Oct-20","Sediment",391383,6466491,10,20,6.55,52.3,"0",0,0,2083,1.2,4.4,525,NA,3.6,5.2,NA,3175,0.45,134,2,266,17.4,0.08,44,1.79,1.24,41,22.1,99,3.3,1.35,8.7,1.57,9.9
"08.3.3",8,8,"20-25","Sediment",391383,6466491,20,25,6.88,48.64,NA,NA,NA,3052,2.3,30.5,1434,0.01,7,9.3,18,4263,0.76,230,3.6,450,26.9,0.24,82,3.93,2.06,119,120.7,350,6.6,1.27,17.5,3.9,26.8
"8.4",8,8,"0-10","Sediment",391338,6466502,0,10,5.34,44.18,"7925",495,495,1667,14.6,5,703,0.09,4,4.5,16.2,3835,0.55,75,1.9,147,9,5.63,58,2.17,1.22,48,90.5,4136,3.4,0.85,6.4,1.97,60.5
